ID,Underlying,Side,Type,OpenDate,Expiry,Strike,Qty,PricePerContract,Fees,Delta,Notes,Status,CloseDate
19,NVO,Sell,PUT,2025-09-29,2025-10-03,53.0,10,0.63,0.0,0.0,,Expired,2025-10-03
20,AMZN,Sell,CALL,2025-09-29,2025-10-03,227.5,3,0.92,0.0,0.0,,Expired,2025-10-03
21,ELF,Sell,CALL,2025-09-29,2025-10-03,137.0,5,1.78,0.0,0.0,,Expired,2025-10-03
22,SOFI,Sell,CALL,2025-09-29,2025-10-03,29.5,10,0.16,0.0,0.0,Closed rolling,Closed,2025-09-30
23,SOFI,Sell,PUT,2025-09-29,2025-10-03,26.0,10,0.28,0.0,0.0,,Assigned,2025-10-03
24,QQQ,Sell,PUT,2025-09-29,2025-10-03,594.0,1,1.71,0.0,0.0,,Expired,2025-10-03
25,UNH,Sell,PUT,2025-09-29,2025-10-03,335.0,3,1.71,0.0,0.0,,Expired,2025-10-03
26,AMZN,Sell,PUT,2025-09-29,2025-10-03,215.0,8,0.94,0.0,0.0,,Expired,2025-10-03
27,MSFT,Sell,PUT,2025-09-29,2025-10-03,505.0,2,1.35,0.0,0.0,,Expired,2025-10-03
28,ELF,Sell,PUT,2025-09-29,2025-10-03,126.0,7,1.27,0.0,0.0,,Expired,2025-10-03
29,COST,Sell,PUT,2025-09-29,2025-10-03,895.0,1,2.77,0.0,0.0,Closed rolling,Closed,2025-09-30
30,ANET,Sell,PUT,2025-09-29,2025-10-03,139.0,7,0.8,0.0,0.0,,Expired,2025-10-03
31,SOFI,Sell,CALL,2025-09-30,2025-10-10,29.0,10,0.24,0.0,0.0,,Expired,2025-10-10
32,NVO,Sell,CALL,2025-10-06,2025-10-10,65.0,8,0.49,0.0,0.0,,Expired,2025-10-10
33,ELF,Sell,CALL,2025-10-06,2025-10-10,147.0,8,0.81,0.0,0.0,,Expired,2025-10-10
34,SOFI,Sell,CALL,2025-10-06,2025-10-10,27.5,20,0.17,0.0,0.0,,Expired,2025-10-10
35,AMZN,Sell,CALL,2025-10-06,2025-10-10,225.0,3,0.74,0.0,0.0,,Expired,2025-10-10
36,UNH,Sell,PUT,2025-10-06,2025-10-10,347.5,3,1.34,0.0,0.0,,Expired,2025-10-10
37,ANET,Sell,PUT,2025-10-06,2025-10-10,145.0,7,1.0,0.0,0.0,,Expired,2025-10-10
38,MSFT,Sell,PUT,2025-10-06,2025-10-10,510.0,2,1.16,0.0,0.0,,Expired,2025-10-10
39,ELF,Sell,PUT,2025-10-06,2025-10-10,132.0,7,1.2,0.0,0.0,,Assigned,2025-10-10
40,NVO,Sell,PUT,2025-10-06,2025-10-10,57.0,20,0.48,0.0,0.0,,Assigned,2025-10-10
41,ABNB,Sell,PUT,2025-10-06,2025-10-10,116.0,10,0.67,0.0,0.0,,Expired,2025-10-10
42,QQQ,Sell,PUT,2025-10-06,2025-10-10,598.0,1,1.49,0.0,0.0,,Assigned,2025-10-10
43,AMZN,Sell,PUT,2025-10-09,2025-10-10,220.0,8,0.94,0.0,0.0,,Assigned,2025-10-10
44,SOFI,Sell,PUT,2025-10-06,2025-10-10,27.0,8,0.17,0.0,0.0,,Assigned,2025-10-10
45,NVO,Sell,CALL,2025-10-13,2025-10-17,60.0,28,0.49,0.0,0.0,,Expired,2025-10-17
46,AMZN,Sell,CALL,2025-10-13,2025-10-17,225.0,11,1.33,0.0,0.0,,Expired,2025-10-17
47,ELF,Sell,CALL,2025-10-13,2025-10-17,141.0,12,1.1,0.0,0.0,,Expired,2025-10-17
48,SOFI,Sell,CALL,2025-10-13,2025-10-17,28.5,28,0.28,0.0,0.0,,Expired,2025-10-17
49,QQQ,Sell,CALL,2025-10-13,2025-10-17,610.0,1,1.85,0.0,0.0,,Expired,2025-10-17
50,MSFT,Sell,PUT,2025-10-13,2025-10-17,505.0,2,2.08,0.0,0.0,,Expired,2025-10-17
51,UNH,Sell,PUT,2025-10-13,2025-10-17,345.0,3,1.42,0.0,0.0,,Expired,2025-10-17
52,ANET,Sell,PUT,2025-10-13,2025-10-17,144.0,7,1.65,0.0,0.0,,Assigned,2025-10-17
53,ABNB,Sell,PUT,2025-10-13,2025-10-17,116.0,10,0.6,0.0,0.0,,Expired,2025-10-17
54,QQQ,Sell,CALL,2025-10-20,2025-10-24,617.0,1,2.1,0.0,0.0,,Assigned,2025-10-24
55,ELF,Sell,CALL,2025-10-20,2025-10-24,140.0,12,1.35,0.0,0.0,,Expired,2025-10-24
56,NVO,Sell,CALL,2025-10-20,2025-10-24,58.0,28,0.51,0.0,0.0,,Expired,2025-10-24
57,SOFI,Sell,CALL,2025-10-20,2025-10-24,29.0,28,0.26,0.0,0.0,,Assigned,2025-10-24
58,AMZN,Sell,CALL,2025-10-20,2025-10-24,222.5,11,0.67,0.0,0.0,,Assigned,2025-10-24
59,ANET,Sell,CALL,2025-10-20,2025-10-24,155.0,7,1.45,0.0,0.0,,Expired,2025-10-24
60,ANET,Sell,PUT,2025-10-20,2025-10-24,142.0,10,1.3,0.0,0.0,,Expired,2025-10-24
61,UNH,Sell,PUT,2025-10-20,2025-10-24,352.5,7,2.33,0.0,0.0,,Expired,2025-10-24
62,NVO,Sell,CALL,2025-10-24,2025-10-31,58.0,28,0.45,0.0,0.0,,Open,
63,ELF,Sell,CALL,2025-10-24,2025-10-31,132.0,12,1.26,0.0,0.0,,Open,
64,ANET,Sell,PUT,2025-10-24,2025-10-31,145.0,10,1.5,0.0,0.0,,Open,
65,SOFI,Sell,PUT,2025-10-27,2025-10-31,27.0,38,0.59,0.0,0.0,,Open,
66,UNH,Sell,PUT,2025-10-27,2025-10-31,345.0,3,3.75,0.0,0.0,,Open,
67,NFLX,Sell,PUT,2025-10-27,2025-10-31,1075.0,2,5.35,0.0,0.0,,Open,
68,QQQ,Sell,PUT,2025-10-27,2025-10-31,614.0,4,1.99,0.0,0.0,,Open,
69,ANET,Sell,CALL,2025-10-27,2025-10-31,162.5,7,1.85,0.0,0.29,CC from Positions,Open,
